district,state,health_need_score,need_indicators_available
Yanam,Puducherry,31.57,18
Chamba,Himachal Pradesh,31.52,18
Muzaffarnagar,Uttar Pradesh,31.49,21
Nanded,Maharastra,31.47,22
West Godavari,Andhra Pradesh,31.44,19
Jhunjhunun,Rajasthan,31.41,18
Uttarkashi,Uttarakhand,31.34,18
Mahoba,Uttar Pradesh,31.34,22
Bhopal,Madhya Pradesh,31.33,18
Anantnag,Jammu & Kashmir,31.29,19
Devbhumi Dwarka,Gujarat,31.26,22
South Twenty Four Pargana,West Bengal,31.26,19
Pratapgarh,Uttar Pradesh,31.24,19
Satna,Madhya Pradesh,31.21,19
Dehradun,Uttarakhand,31.2,18
Sri Potti Sriramulu Nello,Andhra Pradesh,31.19,19
Ludhiana,Punjab,31.18,18
Rupnagar,Punjab,31.14,18
Panna,Madhya Pradesh,31.12,19
North Goa,Goa,31.08,19
Barmer,Rajasthan,31.02,22
South Goa,Goa,30.99,18
Jaunpur,Uttar Pradesh,30.99,22
Moradabad,Uttar Pradesh,30.98,22
Bhavnagar,Gujarat,30.98,22
Dausa,Rajasthan,30.86,22
Puducherry,Puducherry,30.84,19
Kinnaur,Himachal Pradesh,30.73,18
Karaikal,Puducherry,30.71,18
Sant Ravidas Nagar (Bhadohi),Uttar Pradesh,30.69,19
Agar Malwa,Madhya Pradesh,30.68,18
Mainpuri,Uttar Pradesh,30.65,22
Lalitpur,Uttar Pradesh,30.58,18
Bellary,Karnataka,30.55,19
Mahisagar,Gujarat,30.55,22
Yadgir,Karnataka,30.55,19
Samba,Jammu & Kashmir,30.42,19
Bulandshahr,Uttar Pradesh,30.39,22
Vellore,Tamil Nadu,30.32,18
Kanpur Nagar,Uttar Pradesh,30.31,19
Krishna,Andhra Pradesh,30.3,19
Mewat,Haryana,30.23,21
Raisen,Madhya Pradesh,30.18,18
Udhampur,Jammu & Kashmir,30.18,22
Faridabad,Haryana,30.14,18
Solan,Himachal Pradesh,30.12,19
Ariyalur,Tamil Nadu,30.09,18
Banswara,Rajasthan,30.07,18
Bidar,Karnataka,30.04,22
Chandigarh,Chandigarh,30.02,18
Mandi,Himachal Pradesh,29.99,18
Panchkula,Haryana,29.98,18
Sivaganga,Tamil Nadu,29.98,18
Srikakulam,Andhra Pradesh,29.9,19
Mahendragarh,Haryana,29.9,18
Kannauj,Uttar Pradesh,29.83,22
Krishnagiri,Tamil Nadu,29.8,18
Nadia,West Bengal,29.75,19
Cuddalore,Tamil Nadu,29.74,19
Jyotiba Phule Nagar,Uttar Pradesh,29.72,22
Yavatmal,Maharastra,29.68,19
Tiruvannamalai,Tamil Nadu,29.66,18
Pilibhit,Uttar Pradesh,29.65,22
Karauli,Rajasthan,29.63,22
Wardha,Maharastra,29.63,18
Rohtak,Haryana,29.62,18
Perambalur,Tamil Nadu,29.56,18
Ashoknagar,Madhya Pradesh,29.53,18
Vidisha,Madhya Pradesh,29.53,21
Kathua,Jammu & Kashmir,29.46,18
Betul,Madhya Pradesh,29.42,19
Baghpat,Uttar Pradesh,29.36,18
Puri,Odisha,29.35,19
Kozhikode,Kerala,29.33,19
Shimla,Himachal Pradesh,29.31,18
Burhanpur,Madhya Pradesh,29.29,19
Viluppuram,Tamil Nadu,29.16,19
Chittaurgarh,Rajasthan,29.16,18
Bilaspur,Himachal Pradesh,29.13,18
Indore,Madhya Pradesh,29.1,19
Murshidabad,West Bengal,29.06,22
Kanpur Dehat,Uttar Pradesh,29.04,19
Khordha,Odisha,29.0,19
Morbi,Gujarat,28.99,18
Leh(Ladakh),Ladakh,28.98,22
Sikar,Rajasthan,28.92,19
Pratapgarh,Rajasthan,28.84,18
Sirsa,Haryana,28.84,18
Palwal,Haryana,28.83,22
Mumbai,Maharastra,28.81,18
Charkhi Dadri,Haryana,28.68,18
Shivpuri,Madhya Pradesh,28.66,18
Faizabad,Uttar Pradesh,28.66,19
Kargil,Ladakh,28.65,19
Bareilly,Uttar Pradesh,28.62,19
Ratlam,Madhya Pradesh,28.62,22
Jammu,Jammu & Kashmir,28.59,18
Bhiwani,Haryana,28.53,18
Pulwama,Jammu & Kashmir,28.51,18
Meerut,Uttar Pradesh,28.51,19
Lahul & Spiti,Himachal Pradesh,28.42,18
Dakshin Dinajpur,West Bengal,28.37,19
Nayagarh,Odisha,28.33,22
Jaisalmer,Rajasthan,28.28,22
Kasaragod,Kerala,28.25,19
Ganderbal,Jammu & Kashmir,28.2,19
Datia,Madhya Pradesh,28.18,18
Kachchh,Gujarat,28.17,18
Kullu,Himachal Pradesh,28.12,18
South East,NCT of Delhi,28.11,22
Bijnor,Uttar Pradesh,28.04,19
Tirunelveli,Tamil Nadu,28.0,18
Rajouri,Jammu & Kashmir,27.93,22
Surendranagar,Gujarat,27.92,22
Bandipore,Jammu & Kashmir,27.85,19
Jhajjar,Haryana,27.81,18
Shupiyan,Jammu & Kashmir,27.79,18
Bhind,Madhya Pradesh,27.78,21
Ghaziabad,Uttar Pradesh,27.75,18
Virudhunagar,Tamil Nadu,27.71,18
Badgam,Jammu & Kashmir,27.61,19
Guna,Madhya Pradesh,27.54,18
North Twenty Four Pargana,West Bengal,27.46,18
Hanumangarh,Rajasthan,27.44,19
Kanniyakumari,Tamil Nadu,27.42,18
Aligarh,Uttar Pradesh,27.41,22
Kupwara,Jammu & Kashmir,27.37,22
Barpeta,Assam,27.37,19
Allahabad,Uttar Pradesh,27.32,18
Kamrup Metropolitan,Assam,27.26,19
Banas Kantha,Gujarat,27.19,22
Sirmaur,Himachal Pradesh,27.18,19
Patan,Gujarat,27.12,19
Doda,Jammu & Kashmir,27.09,18
Kulgam,Jammu & Kashmir,27.04,18
Sonipat,Haryana,26.98,19
Morena,Madhya Pradesh,26.96,22
Porbandar,Gujarat,26.92,19
Gurgaon,Haryana,26.81,18
Ganganagar,Rajasthan,26.62,19
Kaithal,Haryana,26.59,18
Sirohi,Rajasthan,26.4,22
Gautam Buddha Nagar,Uttar Pradesh,26.4,19
Bhilwara,Rajasthan,26.26,18
Diu,Dadra and Nagar Haveli & Daman and Diu,26.25,18
Ramban,Jammu & Kashmir,26.21,19
Pali,Rajasthan,26.15,19
Amreli,Gujarat,25.93,18
Rajkot,Gujarat,25.91,18
Gir Somnath,Gujarat,25.79,22
Jalor,Rajasthan,25.77,18
Jind,Haryana,25.65,18
Tikamgarh,Madhya Pradesh,25.38,18
Nagaur,Rajasthan,25.35,19
Botad,Gujarat,25.25,18
Kaushambi,Uttar Pradesh,25.21,19
Fatehabad,Haryana,25.16,18
Ajmer,Rajasthan,25.12,19
Rajsamand,Rajasthan,25.08,22
Jamnagar,Gujarat,24.99,18
Punch,Jammu & Kashmir,24.98,19
Dadra & Nagar Haveli,Dadra and Nagar Haveli & Daman and Diu,24.93,19
Ahmadabad,Gujarat,24.45,18
