financial_year,csr_state,csr_development_sector,total_csr_spent_inr,total_projects,average_project_spend_inr,median_project_spend_inr,maximum_project_spend_inr,minimum_project_spend_inr,total_csr_spent_cr,average_project_spend_cr,sector_project_share,sector_spending_share
FY 2024-25,Arunachal Pradesh,Health care,151670693.73,37,4099207.9386486486,1000000.0,71273467.0,0.0,15.167069372999999,0.40992079386486485,0.25170068027210885,0.38048851567287034
FY 2024-25,Arunachal Pradesh,Rural development projects,100661316.61,19,5297964.032105263,999818.0,42745423.0,0.0,10.066131661,0.5297964032105263,0.1292517006802721,0.25252389898603095
FY 2024-25,Arunachal Pradesh,Education,84841084.79,36,2356696.7997222226,990639.0,14854000.0,0.0,8.484108479000001,0.23566967997222227,0.24489795918367346,0.2128364921788325
FY 2024-25,Arunachal Pradesh,Sanitation,13191793.0,18,732877.3888888889,776419.5,1500000.0,0.0,1.3191793,0.07328773888888888,0.12244897959183673,0.03309357671013906
FY 2024-25,Arunachal Pradesh,Special education,9475000.0,3,3158333.3333333335,2000000.0,7225000.0,250000.0,0.9475,0.31583333333333335,0.02040816326530612,0.023769448120400886
FY 2024-25,Arunachal Pradesh,Environmental sustainability,9248800.0,3,3082933.3333333335,350000.00000000006,8878800.0,20000.0,0.92488,0.30829333333333336,0.02040816326530612,0.023201991744165037
FY 2024-25,Arunachal Pradesh,Training to promote sports,8167412.0,6,1361235.3333333333,879861.5,4698689.0,0.0,0.8167412,0.13612353333333332,0.04081632653061224,0.020489168951128196
FY 2024-25,Arunachal Pradesh,Art and culture,6515000.0,6,1085833.3333333333,250000.0,3500000.0,0.0,0.6515,0.10858333333333332,0.04081632653061224,0.016343847441098867
FY 2024-25,Arunachal Pradesh,"Poverty, Eradicating Hunger, Malnutrition",3796000.0,3,1265333.3333333333,1200000.0,2596000.0,0.0,0.3796,0.12653333333333333,0.02040816326530612,0.00952283114142921
FY 2024-25,Arunachal Pradesh,Vocational skills,3148257.129999999,5,629651.4259999997,518400.0,1980000.0,4346.0,0.3148257129999999,0.06296514259999997,0.034013605442176874,0.007897871717278857
FY 2024-25,Arunachal Pradesh,Livelihood enhancement projects,2666000.0,4,666500.0,692000.0,1282000.0,0.0,0.2666,0.06665,0.027210884353741496,0.006688057909128102
FY 2024-25,Arunachal Pradesh,Socio-economic equalities,1952393.13,1,1952393.13,1952393.13,1952393.13,1952393.13,0.195239313,0.195239313,0.006802721088435374,0.004897868835267768
FY 2024-25,Arunachal Pradesh,Safe drinking water,1600000.0,1,1600000.0,1600000.0,1600000.0,1600000.0,0.16,0.16,0.006802721088435374,0.004013838205028118
FY 2024-25,Arunachal Pradesh,Women empowerment,883000.0,3,294333.3333333333,200000.0,683000.0,0.0,0.0883,0.029433333333333332,0.02040816326530612,0.002215136959399893
FY 2024-25,Arunachal Pradesh,"Armed Forces, Veterans, War Widows/ Dependants",804200.0,1,804200.0,804200.0,804200.0,804200.0,0.08042,0.08042,0.006802721088435374,0.0020174554278022576
FY 2024-25,Arunachal Pradesh,Conservation of natural resources,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.0
FY 2024-25,Assam,Health care,2170419020.73,336,6459580.418839286,1555500.0,412700000.00000006,0.0,217.041902073,0.6459580418839286,0.2981366459627329,0.36077764338720464
FY 2024-25,Assam,Education,821084426.1899999,294,2792804.1707142857,711086.5,61302000.0,0.0,82.10844261899999,0.2792804170714286,0.2608695652173913,0.13648466101404214
FY 2024-25,Assam,Environmental sustainability,800847329.22,71,11279539.848169014,2000000.0,300000000.0,51408.0,80.084732922,1.1279539848169013,0.06299911268855368,0.13312075197891984
FY 2024-25,Assam,Rural development projects,663293496.9399999,77,8614201.258961039,1566518.0,160948030.39,0.0,66.32934969399999,0.8614201258961038,0.06832298136645963,0.11025588258049103
FY 2024-25,Assam,Livelihood enhancement projects,640109036.26,58,11036362.69413793,2143185.0,129780000.0,14544.0,64.010903626,1.1036362694137931,0.05146406388642413,0.1064020483634833
FY 2024-25,Assam,Vocational skills,267778903.39,62,4319014.570806451,677500.0,56001101.34,0.0,26.777890339,0.4319014570806451,0.055013309671694766,0.044511516343678524
FY 2024-25,Assam,Women empowerment,191986241.0,17,11293308.294117646,2600763.0,78600000.0,201081.0,19.1986241,1.1293308294117645,0.015084294587400177,0.031912890059105505
FY 2024-25,Assam,"Poverty, Eradicating Hunger, Malnutrition",102625882.27,46,2230997.440652174,1005500.0,16900000.0,15000.0,10.262588227,0.2230997440652174,0.04081632653061224,0.017058975065308013
FY 2024-25,Assam,Conservation of natural resources,86761671.0,6,14460278.5,12474156.0,35943292.0,67500.0,8.6761671,1.44602785,0.005323868677905945,0.01442194843518647
FY 2024-25,Assam,Art and culture,57471138.64,24,2394630.776666667,229000.0,50000000.0,15000.0,5.747113864,0.2394630776666667,0.02129547471162378,0.009553133179944549
FY 2024-25,Assam,Training to promote sports,57092348.5,33,1730071.1666666667,336000.0,30232000.0,0.0,5.70923485,0.17300711666666668,0.029281277728482696,0.00949016883400846
FY 2024-25,Assam,Sanitation,50693155.92,32,1584161.1225,761952.0,12618334.21,0.0,5.069315592000001,0.15841611225000002,0.02839396628216504,0.00842646380906043
FY 2024-25,Assam,Gender equality,35646513.85,11,3240592.1681818184,490600.0,12764478.0,100000.0,3.5646513850000003,0.32405921681818184,0.009760425909494233,0.005925337521897894
FY 2024-25,Assam,Animal welfare,29134959.0,14,2081068.5,799997.0,9480000.0,18000.0,2.9134959,0.20810685,0.012422360248447204,0.0048429550919930064
FY 2024-25,Assam,Setting up orphanage,12290815.0,9,1365646.111111111,200200.0,9884876.0,0.0,1.2290815,0.1365646111111111,0.007985803016858917,0.0020430392604634875
FY 2024-25,Assam,Special education,10463500.0,9,1162611.111111111,500000.0,5500000.0,75000.0,1.04635,0.1162611111111111,0.007985803016858917,0.0017392940420842475
FY 2024-25,Assam,Safe drinking water,9391861.74,9,1043540.1933333334,500000.0,3456149.74,0.0,0.939186174,0.10435401933333334,0.007985803016858917,0.0015611610998672522
FY 2024-25,Assam,Senior Citizens Welfare,3116880.0,6,519480.0,306215.0,1308000.0,96450.0,0.311688,0.051948,0.005323868677905945,0.0005181030070140535
FY 2024-25,Assam,Slum area development,2044000.0,4,511000.0,407000.0,1000000.0,230000.0,0.2044,0.0511,0.00354924578527063,0.00033976365671335615
FY 2024-25,Assam,Agro forestry,1874885.0,1,1874885.0,1874885.0,1874885.0,1874885.0,0.1874885,0.1874885,0.0008873114463176575,0.00031165253596723125
FY 2024-25,Assam,Socio-economic equalities,1313090.0,6,218848.33333333334,170000.0,542220.0,30870.0,0.131309,0.021884833333333336,0.005323868677905945,0.00021826822895975578
FY 2024-25,Assam,"Armed Forces, Veterans, War Widows/ Dependants",303000.0,1,303000.0,303000.0,303000.0,303000.0,0.0303,0.0303,0.0008873114463176575,5.036613893549261e-05
FY 2024-25,Assam,Setting up homes and hostels for women,204400.0,1,204400.0,204400.0,204400.0,204400.0,0.02044,0.02044,0.0008873114463176575,3.397636567133561e-05
FY 2024-25,Bihar,Health care,1164337206.37,277,4203383.416498194,725000.0,250000000.0,0.0,116.433720637,0.4203383416498194,0.24954954954954955,0.25786932848821426
FY 2024-25,Bihar,Education,1107143279.55,318,3481582.6400943394,604414.5,153928245.41,0.0,110.714327955,0.34815826400943395,0.2864864864864865,0.24520241427986533
FY 2024-25,Bihar,"Poverty, Eradicating Hunger, Malnutrition",613078857.35,67,9150430.706716418,500000.0,304531483.0,5100.0,61.307885735,0.9150430706716418,0.06036036036036036,0.13578045293944463
FY 2024-25,Bihar,Livelihood enhancement projects,451445562.72,40,11286139.068,2987899.5,103377000.0,0.0,45.144556272,1.1286139068,0.036036036036036036,0.0999830319521686
FY 2024-25,Bihar,Rural development projects,411660918.53,100,4116609.1852999995,1215665.5,101170000.0,0.0,41.166091853,0.41166091853,0.09009009009009009,0.09117180490789797
FY 2024-25,Bihar,Vocational skills,179787052.05,32,5618345.3765625,534276.365,66222520.92,0.0,17.978705205,0.56183453765625,0.02882882882882883,0.03981798926407963
FY 2024-25,Bihar,Environmental sustainability,165376596.24,84,1968769.002857143,517615.0,35694000.0,0.0,16.537659624,0.1968769002857143,0.07567567567567568,0.036626461463882445
FY 2024-25,Bihar,Sanitation,116293183.3,42,2768885.3166666664,800726.0149999999,25091047.0,0.0,11.62931833,0.27688853166666666,0.03783783783783784,0.02575580761420602
FY 2024-25,Bihar,Gender equality,87158791.7,13,6704522.438461538,3194400.0,29098250.0,38609.0,8.715879170000001,0.6704522438461539,0.011711711711711712,0.019303324642174935
FY 2024-25,Bihar,Safe drinking water,57378142.44,22,2608097.3836363633,1078857.5,29370000.0,0.0,5.737814244,0.26080973836363636,0.01981981981981982,0.012707713006125524
FY 2024-25,Bihar,Women empowerment,53702687.0,29,1851816.7931034483,80069.00000000001,30000000.0,1299.9999999999998,5.3702687,0.18518167931034482,0.026126126126126126,0.011893698628661778
FY 2024-25,Bihar,Conservation of natural resources,40984907.25,14,2927493.375,1030762.5,21361806.0,0.0,4.098490725,0.2927493375,0.012612612612612612,0.009077052981634888
FY 2024-25,Bihar,Training to promote sports,22679890.65,19,1193678.4552631578,32804.0,14782235.0,0.0,2.2679890649999996,0.11936784552631578,0.017117117117117116,0.005022984870796205
FY 2024-25,Bihar,Art and culture,13526965.0,22,614862.0454545454,183745.0,3841079.0,0.0,1.3526965,0.06148620454545454,0.01981981981981982,0.0029958583835936526
FY 2024-25,Bihar,Agro forestry,12777027.0,3,4259009.0,1932000.0,9213000.0,1632027.0,1.2777027,0.4259009,0.002702702702702703,0.002829767317011056
FY 2024-25,Bihar,Special education,6710000.0,6,1118333.3333333333,700000.0,4000000.0,10000.0,0.671,0.11183333333333333,0.005405405405405406,0.0014860842586576818
FY 2024-25,Bihar,Animal welfare,4560073.0,10,456007.3,100000.0,2379100.0,0.0,0.4560073,0.04560073,0.009009009009009009,0.0010099333388420137
FY 2024-25,Bihar,Senior Citizens Welfare,2588632.04,4,647158.01,462080.02,1500000.0,164472.0,0.258863204,0.064715801,0.0036036036036036037,0.0005733122691655622
FY 2024-25,Bihar,Setting up homes and hostels for women,1521000.0000000002,1,1521000.0000000002,1521000.0000000002,1521000.0000000002,1521000.0000000002,0.1521,0.1521,0.0009009009009009009,0.00033686053016666683
FY 2024-25,Bihar,Socio-economic equalities,1511000.0,6,251833.33333333334,100000.0,1000000.0,50000.0,0.1511,0.025183333333333335,0.005405405405405406,0.00033464579952783267
FY 2024-25,Bihar,Setting up orphanage,1000000.0,1,1000000.0,1000000.0,1000000.0,1000000.0,0.1,0.1,0.0009009009009009009,0.00022147306388341012
FY 2024-25,Chandigarh,Health care,705046297.11,86,8198212.7570930235,548915.0,560744942.58,20060.0,70.504629711,0.8198212757093023,0.38392857142857145,0.48266756482241957
FY 2024-25,Chandigarh,Training to promote sports,551312823.0,6,91885470.5,267360.0,550000000.0,50000.0,55.1312823,9.18854705,0.026785714285714284,0.37742318316334206
FY 2024-25,Chandigarh,Education,95194900.0,70,1359927.142857143,549425.0,12500000.0,0.0,9.51949,0.1359927142857143,0.3125,0.0651694658277811
FY 2024-25,Chandigarh,"Poverty, Eradicating Hunger, Malnutrition",57376286.330000006,25,2295051.4532000003,751000.0,31096082.96,27000.0,5.737628633000001,0.22950514532000002,0.11160714285714286,0.039279225371400356
FY 2024-25,Chandigarh,Vocational skills,28791547.95,10,2879154.795,1164415.0,18511754.95,10000.0,2.879154795,0.2879154795,0.044642857142857144,0.019710402555771854
FY 2024-25,Chandigarh,Livelihood enhancement projects,8065202.0,5,1613040.4,2100000.0,2965202.0,100000.0,0.8065202,0.16130403999999998,0.022321428571428572,0.0055213557252872985
FY 2024-25,Chandigarh,Environmental sustainability,6878130.0,3,2292710.0,1450000.0,5000000.0,428130.0,0.687813,0.229271,0.013392857142857142,0.004708698239023688
FY 2024-25,Chandigarh,Senior Citizens Welfare,2911000.0,3,970333.3333333334,211000.0,2600000.0,100000.0,0.2911,0.09703333333333333,0.013392857142857142,0.001992841160867555
FY 2024-25,Chandigarh,Special education,1647174.0,8,205896.75,200000.0,365574.0,80000.0,0.1647174,0.020589675,0.03571428571428571,0.0011276386624221415
FY 2024-25,Chandigarh,Women empowerment,1324400.0,2,662200.0,662200.0,1088400.0,236000.0,0.13244,0.06622,0.008928571428571428,0.0009066708462566093
FY 2024-25,Chandigarh,Slum area development,1059800.0,1,1059800.0,1059800.0,1059800.0,1059800.0,0.10598,0.10598,0.004464285714285714,0.0007255283621736292
FY 2024-25,Chandigarh,Animal welfare,819000.0,2,409500.0,409500.0,750000.0,69000.0,0.0819,0.04095,0.008928571428571428,0.0005606791173997002
FY 2024-25,Chandigarh,Rural development projects,200000.0,1,200000.0,200000.0,200000.0,200000.0,0.02,0.02,0.004464285714285714,0.0001369179773869842
FY 2024-25,Chandigarh,"Armed Forces, Veterans, War Widows/ Dependants",102000.0,1,102000.0,102000.0,102000.0,102000.0,0.0102,0.0102,0.004464285714285714,6.982816846736194e-05
FY 2024-25,Chandigarh,Safe drinking water,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004464285714285714,0.0
FY 2024-25,Chhattisgarh,Health care,1901811407.86,255,7458083.952392156,843866.0000000001,527600000.0,0.0,190.181140786,0.7458083952392156,0.18110795454545456,0.34763195093075044
FY 2024-25,Chhattisgarh,Education,1385761233.59,361,3838673.7772576176,674194.64,141885000.0,0.0,138.57612335899998,0.38386737772576174,0.25639204545454547,0.25330318199067064
FY 2024-25,Chhattisgarh,Rural development projects,776113609.46,167,4647386.882994012,895454.0,91315310.0,0.0,77.611360946,0.4647386882994012,0.11860795454545454,0.14186574288355913
