company_name,financial_year,psu/non_psu,csr_state,csr_development_sector,csr_sub_development_sector,project_amount_spent_in_inr_cr,project_amount_spent_inr,project_amount_spent_inr_lakh
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Delhi,Animal welfare,"Environment, Animal Welfare, Conservation Of Resources",0.02,200000.0,2.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Telangana,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1,1000000.0,10.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Telangana,Education,"Education, Differently Abled, Livelihood",0.05,500000.0,5.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,Education,"Education, Differently Abled, Livelihood",0.01,100000.0,1.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Telangana,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1,1000000.0,10.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.3,3000000.0,30.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03,300000.0,3.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,Education,"Education, Differently Abled, Livelihood",0.03,300000.0,3.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Telangana,Special education,"Education, Differently Abled, Livelihood",0.0821028,821028.0,8.210280000000001
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Telangana,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.2,2000000.0,20.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,Education,"Education, Differently Abled, Livelihood",0.2,2000000.0,20.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Telangana,Special education,"Education, Differently Abled, Livelihood",0.02,200000.0,2.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Telangana,Women empowerment,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.02,200000.0,2.0
TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,FY 2024-25,Non-PSU,Gujarat,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0086,86000.0,0.86
TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,FY 2024-25,Non-PSU,Gujarat,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",1.0,10000000.0,100.0
TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,FY 2024-25,Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.1,1000000.0,10.0
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Bihar,Livelihood enhancement projects,"Education, Differently Abled, Livelihood",1.2,12000000.0,120.0
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Uttar Pradesh,Livelihood enhancement projects,"Education, Differently Abled, Livelihood",0.133875,1338750.0,13.3875
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Telangana,Livelihood enhancement projects,"Education, Differently Abled, Livelihood",0.0715156,715156.0,7.15156
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Bihar,Livelihood enhancement projects,"Education, Differently Abled, Livelihood",0.0446094,446094.0,4.46094
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Rural development projects,Rural Development,0.1,1000000.0,10.0
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Rural development projects,Rural Development,0.17,1700000.0000000002,17.0
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Rural development projects,Rural Development,0.07,700000.0000000001,7.000000000000001
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.208,2080000.0,20.8
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Delhi,Education,"Education, Differently Abled, Livelihood",0.58,5800000.0,57.99999999999999
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.669436,6694360.0,66.9436
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Tamil Nadu,Education,"Education, Differently Abled, Livelihood",0.375,3750000.0,37.5
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,West Bengal,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0260531,260531.0,2.60531
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Animal welfare,"Environment, Animal Welfare, Conservation Of Resources",1.0,10000000.0,100.0
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.0003,2999.9999999999995,0.03
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Karnataka,Gender equality,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",2.8658449,28658449.0,286.58449
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Karnataka,Gender equality,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",2.264552,22645520.0,226.45520000000002
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Kerala,Gender equality,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",2.0403263,20403263.0,204.03262999999998
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Tamil Nadu,Gender equality,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",1.5582028,15582028.000000002,155.82028000000003
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Bihar,Gender equality,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",1.5446567,15446567.0,154.46567
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Uttar Pradesh,Gender equality,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",1.5910363,15910363.0,159.10363
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,West Bengal,Gender equality,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",1.7118016,17118016.0,171.18016
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Bihar,Gender equality,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",1.7121648,17121648.0,171.21648
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Uttar Pradesh,Gender equality,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",1.7027161,17027161.0,170.27161
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Rajasthan,Gender equality,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",2.0205,20205000.0,202.05
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Karnataka,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",2.53,25299999.999999996,252.99999999999997
L&T FINANCE LIMITED,FY 2024-25,Non-PSU,Karnataka,Rural development projects,Rural Development,0.902,9020000.0,90.2
TIRUPATI REELS PRIVATE LIMITED,FY 2024-25,Non-PSU,Uttar Pradesh,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.15,1500000.0,15.0
TIRUPATI REELS PRIVATE LIMITED,FY 2024-25,Non-PSU,Gujarat,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0551322,551322.0,5.51322
TIRUPATI REELS PRIVATE LIMITED,FY 2024-25,Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.0092,92000.0,0.9199999999999999
PALIWAL DIAGNOSTICS PRIVATE LIMITED,FY 2024-25,Non-PSU,Uttar Pradesh,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.304,3040000.0,30.4
KOERBER SUPPLY CHAIN IN LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.200546,2005460.0,20.0546
KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05511,551100.0,5.511
KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.003,30000.0,0.3
KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.047613,476130.0,4.7613
KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.02,200000.0,2.0
KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.0519636,519636.0,5.19636
KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.050891,508910.0,5.0891
KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1029735,1029735.0,10.29735
KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.1628671,1628670.9999999998,16.28671
KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0241251,241251.0,2.41251
KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.6235592,6235592.0,62.35592
KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.29,2900000.0,28.999999999999996
KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.1298177,1298177.0,12.981770000000001
KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Animal welfare,"Environment, Animal Welfare, Conservation Of Resources",0.1,1000000.0,10.0
TSUBAKI INDIA POWER TRANSMISSION PRIVATE LIMITED,FY 2024-25,Non-PSU,Tamil Nadu,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.85,8500000.0,85.0
QRG ENTERPRISES LIMITED.,FY 2024-25,Non-PSU,Rajasthan,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.384057208,3840572.0799999996,38.4057208
TRANSPARES LIMITED,FY 2024-25,Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.05,500000.0,5.0
TRANSPARES LIMITED,FY 2024-25,Non-PSU,Gujarat,Women empowerment,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.024,240000.0,2.4
ROKI UNO MINDA CO. PRIVATE LIMITED,FY 2024-25,Non-PSU,Haryana,Vocational skills,"Education, Differently Abled, Livelihood",0.43,4300000.0,43.0
ROKI UNO MINDA CO. PRIVATE LIMITED,FY 2024-25,Non-PSU,Gujarat,Gender equality,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.23,2300000.0,23.0
ROKI UNO MINDA CO. PRIVATE LIMITED,FY 2024-25,Non-PSU,Haryana,Women empowerment,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.13,1300000.0,13.0
RK WORLDINFOCOM PRIVATE LIMITED,FY 2024-25,Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.45,4500000.0,45.0
ADVANCED SYS-TEK LIMITED,FY 2024-25,Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.12,1200000.0,12.0
ADVANCED SYS-TEK LIMITED,FY 2024-25,Non-PSU,Gujarat,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.08,800000.0,8.0
ADVANCED SYS-TEK LIMITED,FY 2024-25,Non-PSU,Gujarat,Livelihood enhancement projects,"Education, Differently Abled, Livelihood",0.05,500000.0,5.0
ADVANCED SYS-TEK LIMITED,FY 2024-25,Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.05,500000.0,5.0
ADVANCED SYS-TEK LIMITED,FY 2024-25,Non-PSU,Gujarat,Rural development projects,Rural Development,0.15,1500000.0,15.0
ROKI UNO MINDA CO. PRIVATE LIMITED,FY 2024-25,Non-PSU,Haryana,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.57,5699999.999999999,56.99999999999999
MACK SOFT TECH PRIVATE LIMITED,FY 2024-25,Non-PSU,Telangana,Women empowerment,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.01,100000.0,1.0
MACK SOFT TECH PRIVATE LIMITED,FY 2024-25,Non-PSU,Telangana,Education,"Education, Differently Abled, Livelihood",0.15,1500000.0,15.0
MACK SOFT TECH PRIVATE LIMITED,FY 2024-25,Non-PSU,Telangana,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.18,1800000.0,18.0
MACK SOFT TECH PRIVATE LIMITED,FY 2024-25,Non-PSU,Telangana,"Armed Forces, Veterans, War Widows/ Dependants",Other Sectors ( Technology Incubator And Benefits To Armed Forces And Admin Overheads ),0.01,100000.0,1.0
MACK SOFT TECH PRIVATE LIMITED,FY 2024-25,Non-PSU,Telangana,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.19,1900000.0,19.0
JAIPUR-MAHUA TOLLWAY PRIVATE LIMITED,FY 2024-25,Non-PSU,Rajasthan,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0116125,116125.0,1.16125
JAIPUR-MAHUA TOLLWAY PRIVATE LIMITED,FY 2024-25,Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.0235673,235673.0,2.3567299999999998
JAIPUR-MAHUA TOLLWAY PRIVATE LIMITED,FY 2024-25,Non-PSU,Rajasthan,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0291351,291351.0,2.91351
JAIPUR-MAHUA TOLLWAY PRIVATE LIMITED,FY 2024-25,Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.0730997,730997.0,7.309970000000001
JAIPUR-MAHUA TOLLWAY PRIVATE LIMITED,FY 2024-25,Non-PSU,Rajasthan,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.1554865,1554865.0,15.54865
JAIPUR-MAHUA TOLLWAY PRIVATE LIMITED,FY 2024-25,Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.013865,138650.0,1.3865
JAIPUR-MAHUA TOLLWAY PRIVATE LIMITED,FY 2024-25,Non-PSU,Rajasthan,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.1250981,1250981.0,12.509809999999998
ARWADE INFRASTRUCTURE LIMITED,FY 2024-25,Non-PSU,Maharashtra,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0266916,266916.0,2.6691599999999998
ARWADE INFRASTRUCTURE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Women empowerment,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.0081658,81658.00000000001,0.8165800000000001
ARWADE INFRASTRUCTURE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Senior Citizens Welfare,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.0195513,195513.0,1.95513
ARWADE INFRASTRUCTURE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.0379336,379336.0,3.79336
ARWADE INFRASTRUCTURE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.00741,74100.0,0.741
ARWADE INFRASTRUCTURE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Socio-economic equalities,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.1075061,1075061.0,10.75061
QRG INVESTMENTS AND HOLDINGS LIMITED,FY 2024-25,Non-PSU,Rajasthan,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",2.654061577,26540615.77,265.4061577
AAKAASH MANUFACTURING COMPANY PRIVATE LIMITED,FY 2024-25,Non-PSU,Goa,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.172523142,1725231.42,17.2523142
ART HOUSING FINANCE (INDIA) LIMITED,FY 2024-25,Non-PSU,Gujarat,Women empowerment,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.2,2000000.0,20.0
ART HOUSING FINANCE (INDIA) LIMITED,FY 2024-25,Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.2,2000000.0,20.0
ART HOUSING FINANCE (INDIA) LIMITED,FY 2024-25,Non-PSU,Delhi,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05,500000.0,5.0
ART HOUSING FINANCE (INDIA) LIMITED,FY 2024-25,Non-PSU,Delhi,Education,"Education, Differently Abled, Livelihood",0.05,500000.0,5.0
ART HOUSING FINANCE (INDIA) LIMITED,FY 2024-25,Non-PSU,Haryana,Sanitation,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.04,400000.0,4.0
L&T FINANCIAL CONSULTANTS LIMITED,FY 2024-25,Non-PSU,Telangana,Livelihood enhancement projects,"Education, Differently Abled, Livelihood",0.2507159,2507159.0,25.07159
L&T FINANCIAL CONSULTANTS LIMITED,FY 2024-25,Non-PSU,Telangana,Livelihood enhancement projects,"Education, Differently Abled, Livelihood",1.0019284,10019284.0,100.19283999999999
GODREJ HOUSING FINANCE LIMITED,FY 2024-25,Non-PSU,PAN India,Women empowerment,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.3387705,3387704.9999999995,33.87705
INDSEC SECURITIES AND FINANCE LTD,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.16,1600000.0,16.0
INDSEC SECURITIES AND FINANCE LTD,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.05,500000.0,5.0
SURESH RATHI SECURITIES PRIVATE LIMITED,FY 2024-25,Non-PSU,Rajasthan,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03,300000.0,3.0
VENKATESWARA FINANCIERS HYDERABAD PRIVATE LIMITED,FY 2024-25,Non-PSU,Telangana,Education,"Education, Differently Abled, Livelihood",1.2783208,12783208.0,127.83207999999999
NIVARA HOME FINANCE LIMITED,FY 2024-25,Non-PSU,PAN India (Other Centralized Funds),Swachh Bharat Kosh,Swachh Bharat Kosh,0.15,1500000.0,15.0
JOHN DEERE FINANCIAL INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Rural development projects,Rural Development,3.1022131,31022131.0,310.22131
JOHN DEERE FINANCIAL INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.3189021609999999,3189021.609999999,31.89021609999999
TRUHOME FINANCE LIMITED,FY 2024-25,Non-PSU,Gujarat,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.4,4000000.0,40.0
TRUHOME FINANCE LIMITED,FY 2024-25,Non-PSU,Telangana,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.25,2500000.0,25.0
TRUHOME FINANCE LIMITED,FY 2024-25,Non-PSU,Tamil Nadu,Education,"Education, Differently Abled, Livelihood",0.4,4000000.0,40.0
TRUHOME FINANCE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Vocational skills,"Education, Differently Abled, Livelihood",0.111831,1118310.0,11.1831
TRUHOME FINANCE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.32,3200000.0,32.0
GUJARAT ROAD AND INFRASTRUCTURE COMPANY LIMITED,FY 2024-25,Non-PSU,Gujarat,Vocational skills,"Education, Differently Abled, Livelihood",1.6912831,16912831.0,169.12831
GUJARAT ROAD AND INFRASTRUCTURE COMPANY LIMITED,FY 2024-25,Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.0424683,424683.0,4.24683
GUJARAT ROAD AND INFRASTRUCTURE COMPANY LIMITED,FY 2024-25,Non-PSU,Gujarat,Rural development projects,Rural Development,0.679319,6793190.0,67.9319
GUJARAT ROAD AND INFRASTRUCTURE COMPANY LIMITED,FY 2024-25,Non-PSU,Gujarat,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.583096,5830959.999999999,58.309599999999996
CAPRI GLOBAL HOUSING FINANCE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.4,4000000.0,40.0
CAPRI GLOBAL HOUSING FINANCE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.3,3000000.0,30.0
CAPRI GLOBAL HOUSING FINANCE LIMITED,FY 2024-25,Non-PSU,PAN India,Education,"Education, Differently Abled, Livelihood",0.4,4000000.0,40.0
CAPRI GLOBAL HOUSING FINANCE LIMITED,FY 2024-25,Non-PSU,Madhya Pradesh,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.2732396,2732396.0000000005,27.323960000000003
COUNTO MICROFINE PRODUCTS PRIVATE LIMITED,FY 2024-25,Non-PSU,Goa,Education,"Education, Differently Abled, Livelihood",0.0162,162000.0,1.6199999999999999
COUNTO MICROFINE PRODUCTS PRIVATE LIMITED,FY 2024-25,Non-PSU,Goa,Education,"Education, Differently Abled, Livelihood",0.053535,535350.0,5.3535
COUNTO MICROFINE PRODUCTS PRIVATE LIMITED,FY 2024-25,Non-PSU,Goa,Special education,"Education, Differently Abled, Livelihood",0.05,500000.0,5.0
COUNTO MICROFINE PRODUCTS PRIVATE LIMITED,FY 2024-25,Non-PSU,Goa,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.02673,267300.0,2.673
COUNTO MICROFINE PRODUCTS PRIVATE LIMITED,FY 2024-25,Non-PSU,Goa,Education,"Education, Differently Abled, Livelihood",0.0059,59000.0,0.59
COUNTO MICROFINE PRODUCTS PRIVATE LIMITED,FY 2024-25,Non-PSU,Goa,Education,"Education, Differently Abled, Livelihood",0.0252,252000.0,2.52
COUNTO MICROFINE PRODUCTS PRIVATE LIMITED,FY 2024-25,Non-PSU,Goa,Animal welfare,"Environment, Animal Welfare, Conservation Of Resources",0.0517812,517812.0,5.17812
COUNTO MICROFINE PRODUCTS PRIVATE LIMITED,FY 2024-25,Non-PSU,Goa,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.257,2570000.0,25.7
COUNTO MICROFINE PRODUCTS PRIVATE LIMITED,FY 2024-25,Non-PSU,Goa,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0340838,340838.0,3.4083799999999997
EXTREME NETWORKS INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,PAN India,Education,"Education, Differently Abled, Livelihood",0.631,6310000.0,63.1
SOLIFI SOFTWARE INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.31,3100000.0,31.0
INDUCTOTHERM GROUP PUNE PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.056,560000.0,5.6000000000000005
ARTERIA TECHNOLOGIES PRIVATE LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,Education,"Education, Differently Abled, Livelihood",0.21053,2105300.0,21.053
COMMODITY MANDI PRIVATE LIMITED,FY 2024-25,Non-PSU,Chhattisgarh,Education,"Education, Differently Abled, Livelihood",0.01,100000.0,1.0
COMMODITY MANDI PRIVATE LIMITED,FY 2024-25,Non-PSU,Chhattisgarh,Livelihood enhancement projects,"Education, Differently Abled, Livelihood",0.02,200000.0,2.0
CENTRAPATH LABS PRIVATE LIMITED,FY 2024-25,Non-PSU,Madhya Pradesh,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1105,1105000.0,11.05
ESSAE -TERAOKA PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",1.262,12620000.0,126.2
BHUVANAHITA PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Livelihood enhancement projects,"Education, Differently Abled, Livelihood",0.11,1100000.0,11.0
BHUVANAHITA PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Livelihood enhancement projects,"Education, Differently Abled, Livelihood",0.1,1000000.0,10.0
BHUVANAHITA PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1,1000000.0,10.0
BHUVANAHITA PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Training to promote sports,Encouraging Sports,0.1,1000000.0,10.0
BHUVANAHITA PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Art and culture,Heritage Art And Culture,0.025,250000.0,2.5
INDIAN EXPRESS NEWSPAPERS (MUMBAI) PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",1.1064828,11064828.0,110.64828
INDIAN EXPRESS NEWSPAPERS (MUMBAI) PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.005,50000.0,0.5
NIPPON KOEI INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Tamil Nadu,Rural development projects,Rural Development,0.0485588,485588.0,4.85588
NIPPON KOEI INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,Education,"Education, Differently Abled, Livelihood",0.559945,5599450.0,55.9945
NIPPON KOEI INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,Education,"Education, Differently Abled, Livelihood",0.2,2000000.0,20.0
INDIA METAL ONE STEEL PLATE PROCESSING PRIVATE LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,Education,"Education, Differently Abled, Livelihood",0.1740114,1740114.0,17.40114
