company_name,financial_year,psu/non_psu,csr_state,csr_development_sector,csr_sub_development_sector,project_amount_spent_in_inr_cr,project_amount_spent_inr,project_amount_spent_inr_lakh
IFFCO EBAZAR LIMITED,FY 2024-25,Non-PSU,Haryana,Rural development projects,Rural Development,0.2965338,2965338.0,29.653380000000002
GROZ ENGINEERING TOOLS PRIVATE LIMITED,FY 2024-25,Non-PSU,Rajasthan,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.005118,51180.0,0.5118
CYBAGE SOFTWARE PRIVATE LIMITED,FY 2024-25,Non-PSU,Telangana,Rural development projects,Rural Development,0.2500822,2500822.0,25.008219999999998
CHAKIAT AGENCIES PRIVATE LIMITED,FY 2024-25,Non-PSU,Tamil Nadu,Education,"Education, Differently Abled, Livelihood",0.1,1000000.0,10.0
PRARA LEATHERS PRIVATE LIMITED,FY 2024-25,Non-PSU,Tamil Nadu,Rural development projects,Rural Development,0.02,200000.0,2.0
NEC CORPORATION INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Uttar Pradesh,Education,"Education, Differently Abled, Livelihood",0.295,2950000.0,29.5
SATISH SUGARS LIMITED,FY 2024-25,Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.891,8910000.0,89.1
SHREE AJIT PULP AND PAPER LIMITED,FY 2024-25,Non-PSU,Gujarat,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.21,2100000.0,21.0
RAMKRISHNA FORGINGS LTD,FY 2024-25,Non-PSU,Jharkhand,Women empowerment,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.0211929,211929.0,2.11929
PENVER PRODUCTS LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,Rural development projects,Rural Development,0.5,5000000.0,50.0
AMBICA STEELS LIMITED,FY 2024-25,Non-PSU,Uttar Pradesh,Education,"Education, Differently Abled, Livelihood",0.2515789,2515789.0,25.15789
SATHYANARAYANA JEWELLERS PRIVATE LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1,1000000.0,10.0
OPEN TEXT TECHNOLOGIES INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Telangana,Gender equality,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.24542,2454200.0,24.542
ELOQUENT STEEL PRIVATE LIMITED,FY 2024-25,Non-PSU,West Bengal,Education,"Education, Differently Abled, Livelihood",0.0553116,553116.0,5.53116
FRIGERIO CONSERVA ALLANA PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1,1000000.0,10.0
SPECTRA PRODUCTS PRIVATE LIMITED,FY 2024-25,Non-PSU,Delhi,Education,"Education, Differently Abled, Livelihood",0.015,150000.0,1.5
TRIVENI ENGINEERING AND INDUSTRIES LIMITED,FY 2024-25,Non-PSU,Uttar Pradesh,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.050745,507450.0,5.0745
RUSHIL DECOR LIMITED,FY 2024-25,Non-PSU,Gujarat,Women empowerment,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.006,60000.0,0.6
ALLANASONS PRIVATE LIMITED,FY 2024-25,Non-PSU,Kerala,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",5.0,50000000.0,500.0
BHASKAR PUBLICATIONS & ALLIED INDUSTRIES PVT LTD,FY 2024-25,Non-PSU,Madhya Pradesh,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.0362014,362014.0,3.62014
MANAKSIA ALUMINIUM COMPANY LIMITED,FY 2024-25,Non-PSU,West Bengal,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.125,1250000.0,12.5
NMDC LIMITED,FY 2024-25,PSU,Karnataka,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.2831,2831000.0,28.310000000000002
UDAY AUTOSALES PRIVATE LIMITED,FY 2024-25,Non-PSU,Uttar Pradesh,Livelihood enhancement projects,"Education, Differently Abled, Livelihood",0.0222727,222727.0,2.22727
VEHANT TECHNOLOGIES PRIVATE LIMITED,FY 2024-25,Non-PSU,Himachal Pradesh,Education,"Education, Differently Abled, Livelihood",0.0108,108000.0,1.08
QLAR INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Socio-economic equalities,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.0271,271000.0,2.71
NUVAMA WEALTH FINANCE LIMITED,FY 2024-25,Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.15,1500000.0,15.0
ILJIN GLOBAL INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Rural development projects,Rural Development,0.065325,653250.0,6.5325
LCODE TECHNOLOGIES PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.0137637,137637.0,1.37637
NALLI SILK SAREES PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.161,1610000.0,16.1
DIAGEO BUSINESS SERVICES INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.305,3050000.0,30.5
RUSTAM FOODS PRIVATE LIMITED,FY 2024-25,Non-PSU,Uttar Pradesh,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.408526,4085260.0,40.8526
GOODWIN REFRACTORY SERVICES INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Tamil Nadu,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.032545,325450.0,3.2544999999999997
MANAKSIA STEELS LIMITED,FY 2024-25,Non-PSU,West Bengal,Education,"Education, Differently Abled, Livelihood",0.0186,185999.99999999997,1.8599999999999999
JPA MOTORS PRIVATE LIMITED,FY 2024-25,Non-PSU,Tamil Nadu,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.0042,42000.0,0.42
BRADY COMPANY INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.10773345,1077334.5,10.773344999999999
IPSOS RESEARCH PRIVATE LIMITED,FY 2024-25,Non-PSU,PAN India (Other Centralized Funds),Other Central Government Funds,Any Other Fund,0.21,2100000.0,21.0
J. MITRA & CO. PRIVATE LIMITED,FY 2024-25,Non-PSU,Delhi,Education,"Education, Differently Abled, Livelihood",0.130011,1300109.9999999998,13.0011
THEON PHARMACEUTICALS LIMITED,FY 2024-25,Non-PSU,Himachal Pradesh,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.00612,61199.99999999999,0.612
SABARI CHEMICALS PRIVATE LIMITED,FY 2024-25,Non-PSU,Gujarat,Training to promote sports,Encouraging Sports,0.005,50000.0,0.5
ONEWORLD CORPORATION PRIVATE LIMITED,FY 2024-25,Non-PSU,Rajasthan,Animal welfare,"Environment, Animal Welfare, Conservation Of Resources",0.0411,411000.0,4.109999999999999
RBL BANK LIMITED,FY 2024-25,Non-PSU,Maharashtra,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.27,2700000.0,27.0
MOHINI ORGANICS PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.02,200000.0,2.0
ANA DESIGNS PRIVATE LIMITED,FY 2024-25,Non-PSU,Kerala,Education,"Education, Differently Abled, Livelihood",0.02,200000.0,2.0
SORAKE CHANDRA SHEKAR HOSPITALS PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.001,10000.0,0.1
SUDARSHAN JEANS PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Setting up orphanage,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.011,110000.0,1.0999999999999999
SHANTI CAPINVEST PRIVATE LIMITED,FY 2024-25,Non-PSU,Delhi,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.2,2000000.0,20.0
VINYAS INNOVATIVE TECHNOLOGIES LIMITED,FY 2024-25,Non-PSU,Karnataka,Animal welfare,"Environment, Animal Welfare, Conservation Of Resources",0.01,100000.0,1.0
PROFAB ENGINEERS PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.03,300000.0,3.0
SRI HARDEV STEELS PRIVATE LIMITED,FY 2024-25,Non-PSU,Odisha,Education,"Education, Differently Abled, Livelihood",0.009034,90340.0,0.9034
HGI AUTOMOTIVES LIMITED.,FY 2024-25,Non-PSU,Haryana,Livelihood enhancement projects,"Education, Differently Abled, Livelihood",0.005,50000.0,0.5
SIMSON PHARMA LIMITED,FY 2024-25,Non-PSU,Telangana,Training to promote sports,Encouraging Sports,0.01,100000.0,1.0
ANKUR SEEDS PVT LTD,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.1785,1785000.0,17.849999999999998
RELIANCE JIO INFOCOMM LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.0293475,293475.0,2.9347499999999997
SERVICENOW SOFTWARE DEVELOPMENT INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",1.3450647,13450647.0,134.50647
WINJIT TECHNOLOGIES PRIVATE LIMITED,FY 2024-25,Non-PSU,PAN India (Other Centralized Funds),Other Central Government Funds,Any Other Fund,0.0775375,775375.0,7.753749999999999
TRADESMART FINTECH SECURITIES LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.094,940000.0,9.4
TECHWAVE CONSULTING INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Telangana,Education,"Education, Differently Abled, Livelihood",0.02,200000.0,2.0
EVERHOME SHELTERS AND AGENCY PRIVATE LIMITED,FY 2024-25,Non-PSU,Tamil Nadu,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.0528,528000.0,5.28
PURAVANKARA LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.083217,832170.0,8.3217
THE ANGUS COMPANY LIMITED,FY 2024-25,Non-PSU,West Bengal,Education,"Education, Differently Abled, Livelihood",0.0026828,26828.0,0.26828
IND SWIFT LABORATORIES LIMITED,FY 2024-25,Non-PSU,Haryana,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.04642,464200.00000000006,4.642
FEDERAL - MOGUL IGNITION PRODUCTS INDIA LIMITED,FY 2024-25,Non-PSU,Rajasthan,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0244104,244104.0,2.44104
GREENKO URAVAKONDA WIND POWER PRIVATE LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0028,28000.0,0.27999999999999997
GRACURE PHARMACEUTICALS LIMITED,FY 2024-25,Non-PSU,Delhi,Education,"Education, Differently Abled, Livelihood",0.025,250000.0,2.5
SHIVALIK PRINTS LIMITED,FY 2024-25,Non-PSU,Haryana,Education,"Education, Differently Abled, Livelihood",0.0264988,264988.0,2.64988
NATCO PHARMA LIMITED,FY 2024-25,Non-PSU,Telangana,Education,"Education, Differently Abled, Livelihood",0.025,250000.0,2.5
KESARI ROLLER FLOUR MILLS PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0044,44000.0,0.44
AARTI STEEL INTERNATIONAL LIMITED,FY 2024-25,Non-PSU,Punjab,Education,"Education, Differently Abled, Livelihood",0.25,2500000.0,25.0
D. P. ABHUSHAN LIMITED,FY 2024-25,Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.48,4800000.0,48.0
KOTHARI AGRITECH PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.05,500000.0,5.0
STAR WIRE (INDIA) LIMITED,FY 2024-25,Non-PSU,Haryana,Livelihood enhancement projects,"Education, Differently Abled, Livelihood",0.0004,4000.0,0.04
GOEL CONSTRUCTION COMPANY LIMITED,FY 2024-25,Non-PSU,Rajasthan,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.0151,151000.0,1.51
