"Company Name","Financial Year",PSU/Non-PSU,"CSR State","CSR Development Sector","CSR Sub Development Sector","Project Amount Spent (In INR Cr.)"
"GURUJI PRODUCTS PVT LTD","FY 2024-25",Non-PSU,"Madhya Pradesh","Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0775
"RADIUS SYNERGIES INTERNATIONAL PRIVATE LIMITED","FY 2024-25",Non-PSU,"Uttar Pradesh","Art and culture","Heritage Art And Culture",0.0251
"SML MAHINDRA LIMITED","FY 2024-25",Non-PSU,Chandigarh,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1396978
"CHAUDHARY TIMBER INDUSTRIES PRIVATE LIMITED","FY 2024-25",Non-PSU,Punjab,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0460943
"BLACK HAWK PROPERTIES PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.28
"COPART INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,Telangana,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03
"YS BRANDS PRIVATE LIMITED","FY 2024-25",Non-PSU,Gujarat,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.08
"KLV COLONISERS PRIVATE LIMITED","FY 2024-25",Non-PSU,Punjab,"Senior Citizens Welfare","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.1
"KRISHNA MARUTI LIMITED.","FY 2024-25",Non-PSU,Haryana,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.295832
"SYENSQO SPECIALTIES INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Sanitation,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0472
"GUNINA COMMERCIALS PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.181
"RAVI FOODS PVT LTD.","FY 2024-25",Non-PSU,"Andhra Pradesh",Education,"Education, Differently Abled, Livelihood",0.107
"UCN CABLE NETWORK PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05
"MARGADARSI CHITS (KARNATAKA) PRIVATE LIMITED","FY 2024-25",Non-PSU,Telangana,Education,"Education, Differently Abled, Livelihood",0.93
"AMBER APARTMENT MAKERS PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05
"COMPUTER SYSTEMS WEST PRIVATE LIMITED","FY 2024-25",Non-PSU,Punjab,Education,"Education, Differently Abled, Livelihood",0.057
