"Company Name","Financial Year",PSU/Non-PSU,"CSR State","CSR Development Sector","CSR Sub Development Sector","Project Amount Spent (In INR Cr.)"
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,Delhi,"Animal welfare","Environment, Animal Welfare, Conservation Of Resources",0.02
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,Telangana,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,Telangana,Education,"Education, Differently Abled, Livelihood",0.05
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh",Education,"Education, Differently Abled, Livelihood",0.01
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,Telangana,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh","Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.3
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh","Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh",Education,"Education, Differently Abled, Livelihood",0.03
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,Telangana,"Special education","Education, Differently Abled, Livelihood",0.0821028
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,Telangana,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.2
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh",Education,"Education, Differently Abled, Livelihood",0.2
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,Telangana,"Special education","Education, Differently Abled, Livelihood",0.02
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,Telangana,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.02
"TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED","FY 2024-25",Non-PSU,Gujarat,"Safe drinking water","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0086
"TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED","FY 2024-25",Non-PSU,Gujarat,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",1.0
"TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED","FY 2024-25",Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.1
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Bihar,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",1.2
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,"Uttar Pradesh","Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.133875
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Telangana,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.0715156
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Bihar,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.0446094
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Rural development projects","Rural Development",0.1
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Rural development projects","Rural Development",0.17
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Rural development projects","Rural Development",0.07
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.208
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Delhi,Education,"Education, Differently Abled, Livelihood",0.58
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.669436
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu",Education,"Education, Differently Abled, Livelihood",0.375
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,"West Bengal","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0260531
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Animal welfare","Environment, Animal Welfare, Conservation Of Resources",1.0
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.0003
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Gender equality","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",2.8658449
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Gender equality","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",2.264552
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Kerala,"Gender equality","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",2.0403263
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu","Gender equality","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",1.5582028
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Bihar,"Gender equality","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",1.5446567
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,"Uttar Pradesh","Gender equality","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",1.5910363
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,"West Bengal","Gender equality","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",1.7118016
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Bihar,"Gender equality","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",1.7121648
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,"Uttar Pradesh","Gender equality","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",1.7027161
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Rajasthan,"Gender equality","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",2.0205
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",2.53
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Rural development projects","Rural Development",0.902
"TIRUPATI REELS PRIVATE LIMITED","FY 2024-25",Non-PSU,"Uttar Pradesh","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.15
"TIRUPATI REELS PRIVATE LIMITED","FY 2024-25",Non-PSU,Gujarat,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0551322
"TIRUPATI REELS PRIVATE LIMITED","FY 2024-25",Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.0092
"PALIWAL DIAGNOSTICS PRIVATE LIMITED","FY 2024-25",Non-PSU,"Uttar Pradesh","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.304
"KOERBER SUPPLY CHAIN IN LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.200546
"KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05511
"KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.003
"KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.047613
"KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.02
"KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0519636
"KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.050891
"KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1029735
"KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.1628671
"KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0241251
"KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.6235592
"KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.29
"KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.1298177
"KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Animal welfare","Environment, Animal Welfare, Conservation Of Resources",0.1
"TSUBAKI INDIA POWER TRANSMISSION PRIVATE LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.85
"QRG ENTERPRISES LIMITED.","FY 2024-25",Non-PSU,Rajasthan,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.384057208
"TRANSPARES LIMITED","FY 2024-25",Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.05
"TRANSPARES LIMITED","FY 2024-25",Non-PSU,Gujarat,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.024
"ROKI UNO MINDA CO. PRIVATE LIMITED","FY 2024-25",Non-PSU,Haryana,"Vocational skills","Education, Differently Abled, Livelihood",0.43
"ROKI UNO MINDA CO. PRIVATE LIMITED","FY 2024-25",Non-PSU,Gujarat,"Gender equality","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.23
"ROKI UNO MINDA CO. PRIVATE LIMITED","FY 2024-25",Non-PSU,Haryana,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.13
"RK WORLDINFOCOM PRIVATE LIMITED","FY 2024-25",Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.45
"ADVANCED SYS-TEK LIMITED","FY 2024-25",Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.12
"ADVANCED SYS-TEK LIMITED","FY 2024-25",Non-PSU,Gujarat,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.08
"ADVANCED SYS-TEK LIMITED","FY 2024-25",Non-PSU,Gujarat,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.05
"ADVANCED SYS-TEK LIMITED","FY 2024-25",Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.05
"ADVANCED SYS-TEK LIMITED","FY 2024-25",Non-PSU,Gujarat,"Rural development projects","Rural Development",0.15
"ROKI UNO MINDA CO. PRIVATE LIMITED","FY 2024-25",Non-PSU,Haryana,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.57
"MACK SOFT TECH PRIVATE LIMITED","FY 2024-25",Non-PSU,Telangana,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.01
"MACK SOFT TECH PRIVATE LIMITED","FY 2024-25",Non-PSU,Telangana,Education,"Education, Differently Abled, Livelihood",0.15
"MACK SOFT TECH PRIVATE LIMITED","FY 2024-25",Non-PSU,Telangana,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.18
"MACK SOFT TECH PRIVATE LIMITED","FY 2024-25",Non-PSU,Telangana,"Armed Forces, Veterans, War Widows/ Dependants","Other Sectors ( Technology Incubator And Benefits To Armed Forces And Admin Overheads )",0.01
"MACK SOFT TECH PRIVATE LIMITED","FY 2024-25",Non-PSU,Telangana,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.19
"JAIPUR-MAHUA TOLLWAY PRIVATE LIMITED","FY 2024-25",Non-PSU,Rajasthan,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0116125
"JAIPUR-MAHUA TOLLWAY PRIVATE LIMITED","FY 2024-25",Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.0235673
"JAIPUR-MAHUA TOLLWAY PRIVATE LIMITED","FY 2024-25",Non-PSU,Rajasthan,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0291351
"JAIPUR-MAHUA TOLLWAY PRIVATE LIMITED","FY 2024-25",Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.0730997
"JAIPUR-MAHUA TOLLWAY PRIVATE LIMITED","FY 2024-25",Non-PSU,Rajasthan,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.1554865
"JAIPUR-MAHUA TOLLWAY PRIVATE LIMITED","FY 2024-25",Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.013865
"JAIPUR-MAHUA TOLLWAY PRIVATE LIMITED","FY 2024-25",Non-PSU,Rajasthan,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.1250981
"ARWADE INFRASTRUCTURE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0266916
"ARWADE INFRASTRUCTURE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.0081658
"ARWADE INFRASTRUCTURE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Senior Citizens Welfare","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.0195513
"ARWADE INFRASTRUCTURE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.0379336
"ARWADE INFRASTRUCTURE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.00741
"ARWADE INFRASTRUCTURE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Socio-economic equalities","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.1075061
"SHANKARAMPET PROJECTS PRIVATE LIMITED","FY 2024-25",Non-PSU,"NEC/Not mentioned","NEC/Not mentioned","NEC/Not mentioned",
"QRG INVESTMENTS AND HOLDINGS LIMITED","FY 2024-25",Non-PSU,Rajasthan,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",2.654061577
"AAKAASH MANUFACTURING COMPANY PRIVATE LIMITED","FY 2024-25",Non-PSU,Goa,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.172523142
"PRUDENT EQUITY PRIVATE LIMITED","FY 2024-25",Non-PSU,"NEC/Not mentioned","NEC/Not mentioned","NEC/Not mentioned",
"GODREJ CAPITAL LIMITED","FY 2024-25",Non-PSU,"NEC/Not mentioned","NEC/Not mentioned","NEC/Not mentioned",
"PROTRAVINY PRIVATE LIMITED","FY 2024-25",Non-PSU,"NEC/Not mentioned","NEC/Not mentioned","NEC/Not mentioned",
"ART HOUSING FINANCE (INDIA) LIMITED","FY 2024-25",Non-PSU,Gujarat,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.2
"ART HOUSING FINANCE (INDIA) LIMITED","FY 2024-25",Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.2
"ART HOUSING FINANCE (INDIA) LIMITED","FY 2024-25",Non-PSU,Delhi,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05
"ART HOUSING FINANCE (INDIA) LIMITED","FY 2024-25",Non-PSU,Delhi,Education,"Education, Differently Abled, Livelihood",0.05
"ART HOUSING FINANCE (INDIA) LIMITED","FY 2024-25",Non-PSU,Haryana,Sanitation,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.04
"L&T FINANCIAL CONSULTANTS LIMITED","FY 2024-25",Non-PSU,Telangana,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.2507159
"L&T FINANCIAL CONSULTANTS LIMITED","FY 2024-25",Non-PSU,Telangana,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",1.0019284
"GODREJ HOUSING FINANCE LIMITED","FY 2024-25",Non-PSU,"PAN India","Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.3387705
"GODREJ FINANCE LIMITED","FY 2024-25",Non-PSU,"NEC/Not mentioned","NEC/Not mentioned","NEC/Not mentioned",
"INDSEC SECURITIES AND FINANCE LTD","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.16
"INDSEC SECURITIES AND FINANCE LTD","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.05
"SURESH RATHI SECURITIES PRIVATE LIMITED","FY 2024-25",Non-PSU,Rajasthan,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03
"L&T INFRA INVESTMENT PARTNERS ADVISORY PRIVATE LIMITED","FY 2024-25",Non-PSU,"NEC/Not mentioned","NEC/Not mentioned","NEC/Not mentioned",
"VENKATESWARA FINANCIERS HYDERABAD PRIVATE LIMITED","FY 2024-25",Non-PSU,Telangana,Education,"Education, Differently Abled, Livelihood",1.2783208
"NIVARA HOME FINANCE LIMITED","FY 2024-25",Non-PSU,"PAN India (Other Centralized Funds)","Swachh Bharat Kosh","Swachh Bharat Kosh",0.15
"JOHN DEERE FINANCIAL INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Rural development projects","Rural Development",3.1022131
"JOHN DEERE FINANCIAL INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.31890216099999996
"TRUHOME FINANCE LIMITED","FY 2024-25",Non-PSU,Gujarat,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.4
"TRUHOME FINANCE LIMITED","FY 2024-25",Non-PSU,Telangana,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.25
"TRUHOME FINANCE LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu",Education,"Education, Differently Abled, Livelihood",0.4
"TRUHOME FINANCE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Vocational skills","Education, Differently Abled, Livelihood",0.111831
"TRUHOME FINANCE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.32
"GUJARAT ROAD AND INFRASTRUCTURE COMPANY LIMITED","FY 2024-25",Non-PSU,Gujarat,"Vocational skills","Education, Differently Abled, Livelihood",1.6912831
"GUJARAT ROAD AND INFRASTRUCTURE COMPANY LIMITED","FY 2024-25",Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.0424683
"GUJARAT ROAD AND INFRASTRUCTURE COMPANY LIMITED","FY 2024-25",Non-PSU,Gujarat,"Rural development projects","Rural Development",0.679319
"GUJARAT ROAD AND INFRASTRUCTURE COMPANY LIMITED","FY 2024-25",Non-PSU,Gujarat,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.583096
"CAPRI GLOBAL HOUSING FINANCE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.4
"CAPRI GLOBAL HOUSING FINANCE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.3
"CAPRI GLOBAL HOUSING FINANCE LIMITED","FY 2024-25",Non-PSU,"PAN India",Education,"Education, Differently Abled, Livelihood",0.4
"CAPRI GLOBAL HOUSING FINANCE LIMITED","FY 2024-25",Non-PSU,"Madhya Pradesh","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.2732396
"COUNTO MICROFINE PRODUCTS PRIVATE LIMITED","FY 2024-25",Non-PSU,Goa,Education,"Education, Differently Abled, Livelihood",0.0162
"COUNTO MICROFINE PRODUCTS PRIVATE LIMITED","FY 2024-25",Non-PSU,Goa,Education,"Education, Differently Abled, Livelihood",0.053535
"COUNTO MICROFINE PRODUCTS PRIVATE LIMITED","FY 2024-25",Non-PSU,Goa,"Special education","Education, Differently Abled, Livelihood",0.05
"COUNTO MICROFINE PRODUCTS PRIVATE LIMITED","FY 2024-25",Non-PSU,Goa,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.02673
"COUNTO MICROFINE PRODUCTS PRIVATE LIMITED","FY 2024-25",Non-PSU,Goa,Education,"Education, Differently Abled, Livelihood",0.0059
"COUNTO MICROFINE PRODUCTS PRIVATE LIMITED","FY 2024-25",Non-PSU,Goa,Education,"Education, Differently Abled, Livelihood",0.0252
"COUNTO MICROFINE PRODUCTS PRIVATE LIMITED","FY 2024-25",Non-PSU,Goa,"Animal welfare","Environment, Animal Welfare, Conservation Of Resources",0.0517812
"COUNTO MICROFINE PRODUCTS PRIVATE LIMITED","FY 2024-25",Non-PSU,Goa,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.257
"COUNTO MICROFINE PRODUCTS PRIVATE LIMITED","FY 2024-25",Non-PSU,Goa,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0340838
"EXTREME NETWORKS INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,"PAN India",Education,"Education, Differently Abled, Livelihood",0.631
"SOLIFI SOFTWARE INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.31
"INDUCTOTHERM GROUP PUNE PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.056
"ARTERIA TECHNOLOGIES PRIVATE LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh",Education,"Education, Differently Abled, Livelihood",0.21053
"COMMODITY MANDI PRIVATE LIMITED","FY 2024-25",Non-PSU,Chhattisgarh,Education,"Education, Differently Abled, Livelihood",0.01
"COMMODITY MANDI PRIVATE LIMITED","FY 2024-25",Non-PSU,Chhattisgarh,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.02
"ARIA HOTELS AND CONSULTANCY SERVICES PRIVATE LIMITED","FY 2024-25",Non-PSU,"NEC/Not mentioned","NEC/Not mentioned","NEC/Not mentioned",
"CENTRAPATH LABS PRIVATE LIMITED","FY 2024-25",Non-PSU,"Madhya Pradesh","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1105
"SATURN DESS PRIVATE LIMITED","FY 2024-25",Non-PSU,"NEC/Not mentioned","NEC/Not mentioned","NEC/Not mentioned",
"ESSAE -TERAOKA PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",1.262
"BHUVANAHITA PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.11
"BHUVANAHITA PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.1
"BHUVANAHITA PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1
"BHUVANAHITA PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Training to promote sports","Encouraging Sports",0.1
"BHUVANAHITA PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Art and culture","Heritage Art And Culture",0.025
"INDIAN EXPRESS NEWSPAPERS (MUMBAI) PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",1.1064828
"INDIAN EXPRESS NEWSPAPERS (MUMBAI) PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.005
"NIPPON KOEI INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu","Rural development projects","Rural Development",0.0485588
"NIPPON KOEI INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh",Education,"Education, Differently Abled, Livelihood",0.559945
"NIPPON KOEI INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh",Education,"Education, Differently Abled, Livelihood",0.2
"INDIA METAL ONE STEEL PLATE PROCESSING PRIVATE LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh",Education,"Education, Differently Abled, Livelihood",0.1740114
"INDIA METAL ONE STEEL PLATE PROCESSING PRIVATE LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh",Education,"Education, Differently Abled, Livelihood",0.0881985
"INDIA METAL ONE STEEL PLATE PROCESSING PRIVATE LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh",Education,"Education, Differently Abled, Livelihood",0.075
"GALAXY SQUARE PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.3812434
"GALAXY SQUARE PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.0009052
"AXIS CAPITAL LIMITED","FY 2024-25",Non-PSU,Assam,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",4.2694947
"AXIS CAPITAL LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.207666
"SWADESHI POLYTEX LTD","FY 2024-25",Non-PSU,"Uttar Pradesh","Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.37288
"EMBASSY-ENERGY PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Rural development projects","Rural Development",0.6078786
"EMBASSY-ENERGY PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.1141385
"EMBASSY-ENERGY PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.2022133
"CRIZAC LIMITED","FY 2024-25",Non-PSU,"West Bengal",Education,"Education, Differently Abled, Livelihood",3.271658
"NIDO HOME FINANCE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.1008897
